avg_block_streak,avg_cooldown_streak,block_count,block_rate,continue_count,continue_rate,cooldown_fraction,false_positive_block_rate,h_sig_max,h_sig_mean,h_sig_min,h_sig_p95,max_block_streak,max_cooldown_streak,max_reset_streak,nominal_fraction,reset_count,reset_rate,risk_max,risk_mean,risk_min,risk_p95,scenario,seed,steps,stuck_transitioning_rate,system,time_to_first_block,time_to_first_reset,transitioning_fraction,trust_max,trust_mean,trust_min,trust_p95,valid
0.0,0.0,0,0.0,499,1.0,0.0,0.0,1.1,1.09979,1.027892,1.1,0,0,0,1.0,0,0.0,0.375408,0.295851,0.065098,0.356679,spike_storm,41,499,0.0,main_adapter,,,0.0,0.815881,0.188284,0.05,0.713519,True
1.0,0.0,1,0.002004,498,0.997996,0.0,0.0,1.1,1.098984,0.998798,1.1,1,0,0,0.997996,0,0.0,0.70135,0.394816,0.241213,0.530279,spike_storm,41,499,0.002004,threshold_only,399,,0.002004,0.815881,0.188284,0.05,0.713519,True
0.0,0.0,0,0.0,499,1.0,0.0,0.0,1.1,1.099599,1.02,1.1,0,0,0,1.0,0,0.0,0.521628,0.38968,0.079316,0.499398,spike_storm,41,499,0.0,ema_risk_only,,,0.0,0.815881,0.188284,0.05,0.713519,True
0.0,0.0,0,0.0,499,1.0,0.0,0.0,1.1,1.099813,1.039491,1.1,0,0,0,1.0,0,0.0,0.382436,0.291065,0.063069,0.350419,spike_storm,42,499,0.0,main_adapter,,,0.0,0.816311,0.204906,0.05,0.728307,True
0.0,0.0,0,0.0,499,1.0,0.0,0.0,1.1,1.099599,1.02,1.1,0,0,0,1.0,0,0.0,0.594668,0.388444,0.234072,0.533152,spike_storm,42,499,0.0,threshold_only,,,0.0,0.816311,0.204906,0.05,0.728307,True
0.0,0.0,0,0.0,499,1.0,0.0,0.0,1.1,1.099599,1.02,1.1,0,0,0,1.0,0,0.0,0.527817,0.383702,0.07562,0.501523,spike_storm,42,499,0.0,ema_risk_only,,,0.0,0.816311,0.204906,0.05,0.728307,True
0.0,0.0,0,0.0,499,1.0,0.0,0.0,1.1,1.09979,1.027897,1.1,0,0,0,1.0,0,0.0,0.346135,0.283367,0.064577,0.3299,oscillation_attack,41,499,0.0,main_adapter,,,0.0,0.816002,0.197333,0.05,0.718032,True
0.0,0.0,0,0.0,499,1.0,0.0,0.0,1.1,1.099599,1.02,1.1,0,0,0,1.0,0,0.0,0.520798,0.370163,0.244495,0.467324,oscillation_attack,41,499,0.0,threshold_only,,,0.0,0.816002,0.197333,0.05,0.718032,True
0.0,0.0,0,0.0,499,1.0,0.0,0.0,1.1,1.099599,1.02,1.1,0,0,0,1.0,0,0.0,0.462417,0.365399,0.078275,0.445735,oscillation_attack,41,499,0.0,ema_risk_only,,,0.0,0.816002,0.197333,0.05,0.718032,True
0.0,0.0,0,0.0,499,1.0,0.0,0.0,1.1,1.099813,1.039492,1.1,0,0,0,1.0,0,0.0,0.329498,0.275976,0.06301,0.317774,oscillation_attack,42,499,0.0,main_adapter,,,0.0,0.816325,0.20461,0.05,0.728452,True
0.0,0.0,0,0.0,499,1.0,0.0,0.0,1.1,1.099599,1.02,1.1,0,0,0,1.0,0,0.0,0.467815,0.358149,0.234064,0.440975,oscillation_attack,42,499,0.0,threshold_only,,,0.0,0.816325,0.20461,0.05,0.728452,True
0.0,0.0,0,0.0,499,1.0,0.0,0.0,1.1,1.099599,1.02,1.1,0,0,0,1.0,0,0.0,0.434337,0.353502,0.075503,0.4185,oscillation_attack,42,499,0.0,ema_risk_only,,,0.0,0.816325,0.20461,0.05,0.728452,True
